UID          PID    PPID  C STIME TTY          TIME CMD
root        2964    1443  0 08:48 ?        00:00:00 /usr/NX/bin/nxexec --node --user rnyhof --priority realtime --mode 0 --pid 45
rnyhof      2971    2964  0 08:48 ?        00:00:00 /usr/NX/bin/nxnode.bin
rnyhof      3025    2971  0 08:48 ?        00:00:02 /usr/NX/bin/nxrunner.bin --monitor --pid 2196
rnyhof      3455    2247  0 08:49 ?        00:00:25 /usr/bin/konsole
rnyhof      3480    3455  0 08:49 pts/0    00:00:00 /bin/ksh -l
rnyhof      3822    2247  0 08:50 ?        00:01:36 /opt/google/chrome/chrome
rnyhof      3823    1797  0 08:50 ?        00:00:04 /usr/libexec/cgroupify app-google\x2dchrome-1268404011c745748199b072b753e0f1.scope
rnyhof      3827    3822  0 08:50 ?        00:00:00 cat
rnyhof      3828    3822  0 08:50 ?        00:00:00 cat
rnyhof      3835    1797  0 08:50 ?        00:00:00 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/rnyhof/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Fedora Linux 40 (KDE Plasma) --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=124.0.6367.118 --initial-client-fd=5 --shared-client-connection
rnyhof      3837    1797  0 08:50 ?        00:00:00 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/rnyhof/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Fedora Linux 40 (KDE Plasma) --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=124.0.6367.118 --initial-client-fd=4 --shared-client-connection
rnyhof      3843    3822  0 08:50 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --crashpad-handler-pid=3835 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
rnyhof      3844    3822  0 08:50 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=3835 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
rnyhof      3847    3844  0 08:50 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=3835 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
rnyhof      3876    3843  0 08:50 ?        00:01:37 /opt/google/chrome/chrome --type=gpu-process --crashpad-handler-pid=3835 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=3,i,11408848637100910493,11379338191643417580,262144 --variations-seed-version=20240502-113422.320000
rnyhof      3878    3822  0 08:50 ?        00:01:03 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=3835 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,11408848637100910493,11379338191643417580,262144 --variations-seed-version=20240502-113422.320000
rnyhof      3880    3847  0 08:50 ?        00:00:01 /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=utility --crashpad-handler-pid=3835 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,11408848637100910493,11379338191643417580,262144 --variations-seed-version=20240502-113422.320000
root        4004       1  0 08:50 ?        00:00:00 /usr/sbin/pcscd --foreground --auto-exit
rnyhof      4293    3847  3 08:51 ?        00:13:32 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=3835 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=32 --time-ticks-at-unix-epoch=-1714978027429309 --launch-time-ticks=236308933 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,11408848637100910493,11379338191643417580,262144 --variations-seed-version=20240502-113422.320000
rnyhof      4362    3822  1 08:51 ?        00:05:18 /opt/google/chrome/chrome --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=3835 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,11408848637100910493,11379338191643417580,262144 --variations-seed-version=20240502-113422.320000
