UID          PID    PPID  C STIME TTY          TIME CMD
rnyhof      1973    1307  0 04:18 ?        00:00:05 /usr/libexec/kf5/kscreen_backend_launcher
rnyhof      1991    1307  0 04:18 ?        00:00:01 /usr/libexec/xdg-desktop-portal-gtk
rnyhof      2049    1307  0 04:18 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
rnyhof      2055    2049  0 04:18 ?        00:00:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
rnyhof      2059    2055  0 04:18 ?        00:00:00 dbus-broker --log 4 --controller 9 --machine-id 7701c5a0df0d4049bf772bb234357ba3 --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
rnyhof      2066    1307  0 04:18 ?        00:00:04 /usr/libexec/at-spi2-registryd --use-gnome-session
rnyhof      2136    1307  0 04:18 ?        00:00:00 /usr/bin/abrt-applet --gapplication-service
rnyhof      2141    1307  0 04:18 ?        00:00:08 /usr/libexec/kdeconnectd
rnyhof      2173    1307  0 04:18 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
rnyhof      2175    1307  0 04:18 ?        00:00:06 /usr/bin/kaccess
rnyhof      2206    1307  0 04:18 ?        00:00:06 /usr/bin/kalendarac
root        2256       1  0 04:18 ?        00:00:00 /usr/sbin/abrt-dbus -t133
rnyhof      2413    1307  0 04:18 ?        00:00:00 /usr/bin/pipewire-pulse
rnyhof      2421    1307  0 04:18 ?        00:00:08 /usr/bin/akonadi_control
rnyhof      2464    2421  0 04:18 ?        00:00:01 /usr/bin/akonadiserver
rnyhof      2476    2464  0 04:18 ?        00:00:14 /usr/sbin/mysqld --defaults-file=/home/rnyhof/.local/share/akonadi/mysql.conf --datadir=/home/rnyhof/.local/share/akonadi/db_data/ --socket=/run/user/1026/akonadi/mysql.socket --pid-file=/run/user/1026/akonadi/mysql.pid
rnyhof      2514    2421  0 04:18 ?        00:00:05 /usr/bin/akonadi_akonotes_resource --identifier akonadi_akonotes_resource_0
rnyhof      2515    2421  0 04:18 ?        00:00:06 /usr/bin/akonadi_archivemail_agent --identifier akonadi_archivemail_agent
rnyhof      2516    2421  0 04:18 ?        00:00:05 /usr/bin/akonadi_birthdays_resource --identifier akonadi_birthdays_resource
rnyhof      2517    2421  0 04:18 ?        00:00:05 /usr/bin/akonadi_contacts_resource --identifier akonadi_contacts_resource_0
rnyhof      2518    2421  0 04:18 ?        00:00:07 /usr/bin/akonadi_followupreminder_agent --identifier akonadi_followupreminder_agent
rnyhof      2519    2421  0 04:18 ?        00:00:06 /usr/bin/akonadi_ical_resource --identifier akonadi_ical_resource_0
rnyhof      2522    2421  0 04:18 ?        00:00:05 /usr/bin/akonadi_indexing_agent --identifier akonadi_indexing_agent
rnyhof      2523    2421  0 04:18 ?        00:00:06 /usr/bin/akonadi_maildir_resource --identifier akonadi_maildir_resource_0
rnyhof      2526    2421  0 04:18 ?        00:00:08 /usr/bin/akonadi_maildispatcher_agent --identifier akonadi_maildispatcher_agent
